Chart,Sport,League,Division,Conference,School
Sports,Basketball,NCAA,Division I,Ohio Valley,Morehead State University
Sports,Basketball,NCAA,Division I,Ohio Valley,Southeast Missouri State University (Southeast Missouri or SEMO)
Sports,Basketball,NCAA,Division I,Ohio Valley,Southern Illinois University Edwardsville (SIU Edwardsville or SIUE)
Sports,Basketball,NCAA,Division I,Ohio Valley,University of Southern Indiana[a]
Sports,Basketball,NCAA,Division I,Ohio Valley,University of Tennessee at Martin (UT Martin)
Sports,Basketball,NCAA,Division I,Ohio Valley,Tennessee State University
Sports,Basketball,NCAA,Division I,Ohio Valley,Tennessee Technological University (Tennessee Tech)
Sports,Basketball,NCAA,Division I,Ohio Valley,Western Illinois University
Sports,Basketball,NCAA,Division I,Patriot League,American University
Sports,Basketball,NCAA,Division I,Patriot League,United States Military Academy (Army or Army West Point)
Sports,Basketball,NCAA,Division I,Patriot League,Boston University
Sports,Basketball,NCAA,Division I,Patriot League,Bucknell University
Sports,Basketball,NCAA,Division I,Patriot League,Colgate University
Sports,Basketball,NCAA,Division I,Patriot League,College of the Holy Cross
Sports,Basketball,NCAA,Division I,Patriot League,Lafayette College
Sports,Basketball,NCAA,Division I,Patriot League,Lehigh University
Sports,Basketball,NCAA,Division I,Patriot League,Loyola University Maryland (Loyola Maryland)
Sports,Basketball,NCAA,Division I,Patriot League,United States Naval Academy (Navy)
Sports,Basketball,NCAA,Division I,SEC,University of Alabama
Sports,Basketball,NCAA,Division I,SEC,University of Arkansas
Sports,Basketball,NCAA,Division I,SEC,Auburn University
Sports,Basketball,NCAA,Division I,SEC,University of Florida
Sports,Basketball,NCAA,Division I,SEC,University of Georgia (UGA)
Sports,Basketball,NCAA,Division I,SEC,University of Kentucky (UK)
Sports,Basketball,NCAA,Division I,SEC,Louisiana State University (LSU)
Sports,Basketball,NCAA,Division I,SEC,University of Mississippi (Ole Miss)
Sports,Basketball,NCAA,Division I,SEC,Mississippi State University
Sports,Basketball,NCAA,Division I,SEC,University of Missouri (Mizzou)
Sports,Basketball,NCAA,Division I,SEC,University of Oklahoma
Sports,Basketball,NCAA,Division I,SEC,University of South Carolina
Sports,Basketball,NCAA,Division I,SEC,University of Tennessee
Sports,Basketball,NCAA,Division I,SEC,University of Texas at Austin (Texas)
Sports,Basketball,NCAA,Division I,SEC,Texas A&M University
Sports,Basketball,NCAA,Division I,SEC,Vanderbilt University (Vandy)
Sports,Basketball,NCAA,Division I,Southern,University of Tennessee at Chattanooga (Chattanooga)
Sports,Basketball,NCAA,Division I,Southern,The Citadel
Sports,Basketball,NCAA,Division I,Southern,East Tennessee State University (ETSU)
Sports,Basketball,NCAA,Division I,Southern,Furman University
Sports,Basketball,NCAA,Division I,Southern,Mercer University
Sports,Basketball,NCAA,Division I,Southern,Samford University
Sports,Basketball,NCAA,Division I,Southern,University of North Carolina at Greensboro (UNCG or UNC Greensboro)
Sports,Basketball,NCAA,Division I,Southern,Virginia Military Institute (VMI)
Sports,Basketball,NCAA,Division I,Southern,Western Carolina University
Sports,Basketball,NCAA,Division I,Southern,Wofford College
Sports,Basketball,NCAA,Division I,Southland,East Texas A&M University[a]
Sports,Basketball,NCAA,Division I,Southland,Houston Christian University (HCU)
Sports,Basketball,NCAA,Division I,Southland,University of the Incarnate Word (UIW)
Sports,Basketball,NCAA,Division I,Southland,Lamar University
Sports,Basketball,NCAA,Division I,Southland,McNeese State University (McNeese)
Sports,Basketball,NCAA,Division I,Southland,University of New Orleans
Sports,Basketball,NCAA,Division I,Southland,Nicholls State University (Nicholls)
Sports,Basketball,NCAA,Division I,Southland,Northwestern State University
Sports,Basketball,NCAA,Division I,Southland,Southeastern Louisiana University
Sports,Basketball,NCAA,Division I,Southland,"Stephen F. Austin State University (Stephen F. Austin, SFA)"
Sports,Basketball,NCAA,Division I,Southland,Texas A&M University-Corpus Christi
Sports,Basketball,NCAA,Division I,Southland,University of Texas Rio Grande Valley (UTRGV)
Sports,Basketball,NCAA,Division I,The Summit,University of Denver
Sports,Basketball,NCAA,Division I,The Summit,University of Missouri–Kansas City (Kansas City)
Sports,Basketball,NCAA,Division I,The Summit,University of North Dakota
Sports,Basketball,NCAA,Division I,The Summit,North Dakota State University (NDSU)
Sports,Basketball,NCAA,Division I,The Summit,University of Nebraska Omaha (Omaha)
Sports,Basketball,NCAA,Division I,The Summit,Oral Roberts University
Sports,Basketball,NCAA,Division I,The Summit,University of St. Thomas[f]
Sports,Basketball,NCAA,Division I,The Summit,University of South Dakota
Sports,Basketball,NCAA,Division I,The Summit,South Dakota State University
Sports,Basketball,NCAA,Division I,Sun Belt,Appalachian State University
Sports,Basketball,NCAA,Division I,Sun Belt,Arkansas State University
Sports,Basketball,NCAA,Division I,Sun Belt,Coastal Carolina University
