Chart,Sport,League,Division,Conference,School
Sports,Basketball,NCAA,Division III,New England Small College Athletic Conference,Wesleyan University
Sports,Basketball,NCAA,Division III,New England Small College Athletic Conference,Williams College
Sports,Basketball,NCAA,Division III,New England Women's and Men's Athletic Conference,Babson College
Sports,Basketball,NCAA,Division III,New England Women's and Men's Athletic Conference,Clark University
Sports,Basketball,NCAA,Division III,New England Women's and Men's Athletic Conference,Emerson College
Sports,Basketball,NCAA,Division III,New England Women's and Men's Athletic Conference,Massachusetts Institute of Technology [A 13]
Sports,Basketball,NCAA,Division III,New England Women's and Men's Athletic Conference,Mount Holyoke College[A 1]
Sports,Basketball,NCAA,Division III,New England Women's and Men's Athletic Conference,Salve Regina University
Sports,Basketball,NCAA,Division III,New England Women's and Men's Athletic Conference,Smith College[A 1]
Sports,Basketball,NCAA,Division III,New England Women's and Men's Athletic Conference,Springfield College
Sports,Basketball,NCAA,Division III,New England Women's and Men's Athletic Conference,United States Coast Guard Academy
Sports,Basketball,NCAA,Division III,New England Women's and Men's Athletic Conference,Wellesley College[A 1]
Sports,Basketball,NCAA,Division III,New England Women's and Men's Athletic Conference,Wheaton College
Sports,Basketball,NCAA,Division III,New England Women's and Men's Athletic Conference,Worcester Polytechnic Institute
Sports,Basketball,NCAA,Division III,New Jersey Athletic Conference,Kean University
Sports,Basketball,NCAA,Division III,New Jersey Athletic Conference,Montclair State University
Sports,Basketball,NCAA,Division III,New Jersey Athletic Conference,The College of New Jersey
Sports,Basketball,NCAA,Division III,New Jersey Athletic Conference,New Jersey City University
Sports,Basketball,NCAA,Division III,New Jersey Athletic Conference,Ramapo College
Sports,Basketball,NCAA,Division III,New Jersey Athletic Conference,Rowan University
Sports,Basketball,NCAA,Division III,New Jersey Athletic Conference,Rutgers University–Camden
Sports,Basketball,NCAA,Division III,New Jersey Athletic Conference,Rutgers University–Newark
Sports,Basketball,NCAA,Division III,New Jersey Athletic Conference,Stockton University
Sports,Basketball,NCAA,Division III,New Jersey Athletic Conference,William Paterson University
Sports,Basketball,NCAA,Division III,North Atlantic Conference,Husson University
Sports,Basketball,NCAA,Division III,North Atlantic Conference,Lesley University
Sports,Basketball,NCAA,Division III,North Atlantic Conference,University of Maine at Farmington
Sports,Basketball,NCAA,Division III,North Atlantic Conference,Maine Maritime Academy
Sports,Basketball,NCAA,Division III,North Atlantic Conference,University of Maine at Presque Isle
Sports,Basketball,NCAA,Division III,North Atlantic Conference,State University of New York at Cobleskill
Sports,Basketball,NCAA,Division III,North Atlantic Conference,State University of New York at Delhi
Sports,Basketball,NCAA,Division III,North Atlantic Conference,Thomas College
Sports,Basketball,NCAA,Division III,North Atlantic Conference,Vermont State University–Johnson
Sports,Basketball,NCAA,Division III,North Atlantic Conference,Vermont State University–Lyndon
Sports,Basketball,NCAA,Division III,North Coast Athletic Conference,Denison University
Sports,Basketball,NCAA,Division III,North Coast Athletic Conference,DePauw University
Sports,Basketball,NCAA,Division III,North Coast Athletic Conference,Kenyon College
Sports,Basketball,NCAA,Division III,North Coast Athletic Conference,Oberlin College
Sports,Basketball,NCAA,Division III,North Coast Athletic Conference,Ohio Wesleyan University
Sports,Basketball,NCAA,Division III,North Coast Athletic Conference,Wabash College[A 11]
Sports,Basketball,NCAA,Division III,North Coast Athletic Conference,Wittenberg University
Sports,Basketball,NCAA,Division III,North Coast Athletic Conference,College of Wooster
Sports,Basketball,NCAA,Division III,North Coast Athletic Conference,Hiram College
Sports,Basketball,NCAA,Division III,Northern Athletics Collegiate Conference,Alverno College[A 1]
Sports,Basketball,NCAA,Division III,Northern Athletics Collegiate Conference,Aurora University
Sports,Basketball,NCAA,Division III,Northern Athletics Collegiate Conference,Benedictine University
Sports,Basketball,NCAA,Division III,Northern Athletics Collegiate Conference,Concordia University Chicago
Sports,Basketball,NCAA,Division III,Northern Athletics Collegiate Conference,Concordia University Wisconsin
Sports,Basketball,NCAA,Division III,Northern Athletics Collegiate Conference,Dominican University
Sports,Basketball,NCAA,Division III,Northern Athletics Collegiate Conference,Edgewood College
